ChainID,SubChainID,StoreID,BikoretNo,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
7.2907E+12,1,8,0,2019/01/22 07:38,2323,0,גבינה מגורדת מעדנייה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,41.3,4.13,0,1,,
7.2907E+12,1,8,0,2020/04/01 07:31,3113,0,מסיכת הגנה 3 שכבות בודד,ספקים שונים,,,יח`,1,,0,1,9.9,9.9,0,1,,
7.2907E+12,1,8,0,2020/04/20 16:56,3535,0,מסיכת הגנה לפנים 50 יח`,ספקים שונים,,,יח`,1,,0,1,100,100,1,1,,
7.2907E+12,1,8,0,2020/04/22 07:18,4022,0,מסיכות בד שלישייה,אומנות התפירה,,,יח`,1,,0,1,19.9,19.9,0,1,,
7.2907E+12,1,8,0,2020/04/20 07:22,4589,0,KN95 בודד מסיכת פנים,גל-אור נכסים בעמ,,,יח`,1,,0,1,9.9,9.9,0,1,,
7.2907E+12,1,8,0,2020/04/20 07:22,5601,0,KN95 מארז 10  יח`מסיכת פנים,ספקים שונים,,,יח`,1,,0,1,69,69,0,1,,
7.2907E+12,1,8,0,2019/10/27 07:29,11004,0,הולנדית+שויצרית+צ`דר משקל,צ.י תעשיות מזון יבנה בעמ,,,"ק""ג",1000,גרם,1,1,37,3.7,0,1,,
7.2907E+12,1,8,0,2019/10/27 07:29,12001,0,מעושנת א.ח.נוכרי,צ.י תעשיות מזון יבנה בעמ,,,"ק""ג",1000,גרם,1,1,38,3.8,0,1,,
7.2907E+12,1,8,0,2019/10/27 07:29,14005,0,מקסיקנית א.ח נוכרי במישקל,צ.י תעשיות מזון יבנה בעמ,,,"ק""ג",1000,גרם,1,1,36,3.6,0,1,,
7.2907E+12,1,8,0,2019/10/27 07:29,15002,0,גבינה שום שמיר+זיתים במישקל,צ.י תעשיות מזון יבנה בעמ,,,"ק""ג",1000,גרם,1,1,36,3.6,0,1,,
7.2907E+12,1,8,0,2018/11/25 08:37,23489,0,דג סלמון נורבגי טרי שלם - נקי,מאסטרפוד בעמ,,,"ק""ג",100,גרם,1,1,59.9,59.9,1,1,,
7.2907E+12,1,8,0,2019/06/16 09:39,7.29E+12,1,גבינת גלבוע 22% תנובה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,40.59,4.06,0,1,,
7.2907E+12,1,8,0,2019/03/04 10:07,7.29E+12,1,קולאג 23% פרמזן חריץ תנובה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,113,11.3,0,1,,
7.2907E+12,1,8,0,2018/08/08 11:48,46662,0,סקנדינבית 31% תנובה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,76,7.6,0,1,,
7.2907E+12,1,8,0,2019/06/10 19:48,47485,0,בולגרית 24% פח 3  קג`תנובה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,56,5.6,0,1,,
7.2907E+12,1,8,0,2018/08/12 09:22,7.29E+12,1,טל העמק 9% חריץ תנובה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,82,8.2,0,1,,
7.2907E+12,1,8,0,2018/08/08 11:48,7.29E+12,1,טל העמק 32% צהובה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,55,5.5,0,1,,
7.2907E+12,1,8,0,2019/06/16 09:39,7.29E+12,1,עמק פיקוח 28% צהובה מעדנייה,תנובה - חלב,,,"ק""ג",1000,גרם,1,1,42.7,4.27,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:24,58078,0,בלוז מעדנייה שטראוס,שטראוס גרופ בעמ/מצונן,,,"ק""ג",1000,גרם,1,1,50,5,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:24,58238,0,פטינה מעדנייה שטראוס,שטראוס גרופ בעמ/מצונן,,,"ק""ג",1000,גרם,1,1,22,2.2,0,1,,
7.2907E+12,1,8,0,2014/01/08 07:31,59297,0,גבינה לבנה 5% טעמים במשקל,מחלבות גד שיווק 1992 בעמ,,,"ק""ג",1000,גרם,1,1,25,2.5,0,1,,
7.2907E+12,1,8,0,2020/02/02 08:30,5.7409E+12,1,ממרח חמאה דנית מעדנייה שטראוס,שטראוס גרופ בעמ/מצונן,,,"ק""ג",0,גרם,1,1,42,42,0,1,,
7.2907E+12,1,8,0,2020/03/24 10:18,124667,0,מסכה פלסטיק שלישייה,גרפיקה בצלאל בעמ,,,יח`,1,,0,1,22,22,0,1,,
7.2907E+12,1,8,0,2020/03/24 10:18,125667,0,אלכוגל מארז עשירייה 2 מל,ספקים שונים,,,יח`,1,,0,1,9.9,9.9,0,1,,
7.2907E+12,1,8,0,2019/05/08 07:25,360201,0,אמנון טרי נקי,מאסטרפוד בעמ,,,"ק""ג",1,,1,1,29.9,29.9,0,1,,
7.2907E+12,1,8,0,2017/11/19 07:13,366203,0,דג בורי טרי נקי,מאסטרפוד בעמ,,,"ק""ג",1,,1,1,39,39,1,1,,
7.2907E+12,1,8,0,2019/08/29 07:30,372204,0,דג ברמונדי נקי שלם,מאסטרפוד בעמ,,,"ק""ג",1,,1,1,49.9,49.9,1,1,,
7.2907E+12,1,8,0,2019/06/16 09:40,395408,0,גבנצ 28% נעם חריץ פיקוח מעדנייה,החב` המרכזית - טרה,,,"ק""ג",1000,גרם,1,1,42.7,4.27,0,1,,
7.2907E+12,1,8,0,2016/10/06 09:50,395422,0,גבנצ 22% נעם חריץ פיקוח מעדנייה,החב` המרכזית - טרה,,,"ק""ג",1000,גרם,1,1,39,3.9,0,1,,
7.2907E+12,1,8,0,2015/08/24 07:53,497303,0,לחמניות מקמח מלא ברמן) (6,י.את א. ברמן בעמ,,,יח`,540,גרם,0,1,10.9,2.02,0,1,,
7.2907E+12,1,8,0,2019/06/10 19:48,554792,0,בולגרית 5% 16%  מעודנת- גד מעדניה,מחלבות גד שיווק 1992 בעמ,,,"ק""ג",1000,גרם,1,1,56,5.6,0,1,,
7.2907E+12,1,8,0,2020/03/03 07:35,7.29E+12,1,גבינת מוצרלה נקניק מעדנייה גד,מחלבות גד שיווק 1992 בעמ,,,"ק""ג",1000,גרם,1,1,80,8,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:23,554914,0,גבינה צפתית רכה 5% מעדנייה גד,מחלבות גד שיווק 1992 בעמ,,,"ק""ג",1000,גרם,1,1,60,6,0,1,,
7.2907E+12,1,8,0,2019/10/27 07:29,554969,0,שמנות 30% בטעמים מעדנייה גד,מחלבות גד שיווק 1992 בעמ,,,"ק""ג",1000,גרם,1,1,45,4.5,0,1,,
7.2907E+12,1,8,0,2019/03/31 07:32,560946,0,דג קרפיון מצונן נקי,מאסטרפוד בעמ,,,"ק""ג",1,,1,1,32.9,32.9,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:23,820859,0,סטייק עין קפוא פריגומרק מוביל,מאסטרפוד בעמ,,,"ק""ג",0,גרם,1,1,49.9,49.9,0,1,,
7.2907E+12,1,8,0,2019/02/08 07:34,1319161,0,בשר מס` 3 חזה,בלדי בעמ,,,"ק""ג",1000,גרם,1,1,29.9,2.99,0,1,,
7.2907E+12,1,8,0,2016/07/08 07:52,1710289,0,דג מקרל ארוז,בלדי בעמ,,,"ק""ג",1,,1,1,19.9,19.9,0,1,,
7.2907E+12,1,8,0,2017/03/27 06:32,1989364,0,מקרל פרוס בשמן מעדניה,סלטי שמיר 2006 בעמ,,,"ק""ג",1000,גרם,1,1,89,8.9,0,1,,
7.2907E+12,1,8,0,2016/03/28 06:25,1989395,0,הרינג כבוש עם בצל מעדניה,סלטי שמיר 2006 בעמ,,,"ק""ג",1000,גרם,1,1,39,3.9,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:23,2300878,0,גבינת צדר אנגלית במשקל,נטו מלינדה סחר בעמ,,,"ק""ג",1000,גרם,1,1,104,10.4,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:23,2300885,0,גבינת צ`דר אנגלי כתום משקל,נטו מלינדה סחר בעמ,,,"ק""ג",1000,גרם,1,1,120,12,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:22,2370017,0,גבינת גאודה בתוספת תערובת בזיליקום ושום,ג.וילי-פוד אינטרנשיונל בעמ,,,"ק""ג",1000,גרם,1,1,80,8,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:22,2370130,0,גבינת ברי צרפתית מעדנייה וילי פוד,ג.וילי-פוד אינטרנשיונל בעמ,,,"ק""ג",1000,גרם,1,1,69,6.9,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:22,2370246,0,גבינת גרנה פנדו מעדנייה-וילי  פוד,ג.וילי-פוד אינטרנשיונל בעמ,,,"ק""ג",1000,גרם,1,1,80,8,0,1,,
7.2907E+12,1,8,0,2020/05/01 07:09,2370468,0,גאודה סטייל גלגל מעדנייה-וילי  פוד,ג.וילי-פוד אינטרנשיונל בעמ,,,"ק""ג",1000,גרם,1,1,42,4.2,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:23,2929130,0,דנאבלו גבינה+עובש משקל,נטו מלינדה סחר בעמ,,,"ק""ג",1000,גרם,1,1,110,11,0,1,,
7.2907E+12,1,8,0,2019/04/09 07:24,3001620,0,בשר מס` 2 צלעות,בלדי בעמ,,,"ק""ג",1000,גרם,1,1,29.9,2.99,0,1,,
7.2907E+12,1,8,0,2014/05/29 07:21,3423909,0,חטיף שוקולד לבן עם שברי עוגיות הרשי 43 ג,ליימן שליסל בעמ,,,יח`,1,,0,1,4.9,4.9,1,1,,
7.2907E+12,1,8,0,2014/05/29 07:21,3444009,0,חטיף שוקולד חלב עם חמאת בוטנים הרשי 42 ג,ליימן שליסל בעמ,,,יח`,1,,0,1,3.9,3.9,1,1,,
7.2907E+12,1,8,0,2019/07/25 07:55,3451050,0,דג פילה מרלוזה סיני מוביל,ג.ת. שיווק בן בקר בעמ,,,"ק""ג",1000,גרם,1,1,19.9,1.99,0,1,,
7.2907E+12,1,8,0,2018/06/20 07:49,3632367,0,פילה ברבוניה,ישראל פלדמן בעמ,,,יח`,500,גרם,0,1,24.9,4.98,0,1,,
7.2907E+12,1,8,0,2016/03/28 06:25,3648207,0,מטיאס הולנדי בשמן,סלטי שמיר 2006 בעמ,,,"ק""ג",1000,גרם,1,1,39,3.9,0,1,,
7.2907E+12,1,8,0,2017/10/26 07:15,4014407,0,אמ אנד אם עדשי חמאת בוטנים 46 גרם,מרס ריגלי ישראל בעמ,,,יח`,1,,0,1,4.9,4.9,1,1,,
7.2907E+12,1,8,0,2020/05/03 07:23,4068424,0,גאודה בקר משולש מעדנייה גד,מחלבות גד שיווק 1992 בעמ,,,"ק""ג",1000,גרם,1,1,108,10.8,0,1,,
7.2907E+12,1,8,0,2020/05/03 07:23,4068585,0,גאודה עיזים משולש מעדנייה גד,מחלבות גד שיווק 1992 בעמ,,,"ק""ג",1000,גרם,1,1,132,13.2,0,1,,
