video_url,title,description,length,length_in_minutes,views,upload_date,related_tags,translations,speaker_name,speaker_profession
https://www.ted.com/talks/sahil_sethi_can_0_7_of_corporate_profits_fund_the_world_s_biggest_problems,Can 0.7% of corporate profits fund the world's biggest problems?,"The United Nations has set a goal to free the world from hunger, poverty and HIV related deaths. But where does the money come from? Conscious capitalist Sahil Sethi identifies a sector resource-rich enough to make the UN's ambitious goals a reality: the corporate world. By donating .7% of their annual profits to the UN goals, he believes corporations can make a game-changing positive impact on our global community.",,,,2018-07-30T20:55:17+00:00,"['capitalism', 'business', 'economics']",,Sahil Sethi,Conscious Capitalist
https://www.ted.com/talks/will_jenkins_the_most_precious_commodity_of_all,The most precious commodity of all?,"Throughout history, humans have ascribed value to the tools and processes that made their tasks easier and faster to complete. Countering the old saying that ""time is money,"" Will Jenkins says that the most valuable currency is actually time.",,,,2018-02-15T17:17:10+00:00,"['money', 'time', 'work']",,Will Jenkins,Values investigator
https://www.ted.com/talks/gemma_jackson_how_i_bring_imagined_worlds_to_life,How I bring imagined worlds to life,"When we think about a movie or TV show's unique visuals, we tend to associate it with directors or cinematographers. But who picks the furniture that sits in your favorite character's home -- or decides whether a palace is brutalist or minimalist? In this eye-opening talk, ""Game of Thrones"" production designer Gemma Jackson explains what goes into plucking fictional worlds out of scripts and willing them into physical reality.",,,,2020-02-07T22:51:13+00:00,"['design', 'film', 'movies', 'television', 'media']",,Gemma Jackson,Production designer
https://www.ted.com/talks/rufus_wainwright_peaceful_afternoon_going_to_a_town,"""Peaceful Afternoon"" / ""Going To A Town""",Musical artist and songwriter Rufus Wainwright performs two enchanting original songs: a gorgeous love song written for his husband and performed on acoustic guitar and a haunting performance on piano.,,,,2020-07-06T19:40:20+00:00,"['performance', 'music', 'singer', 'guitar']",,Rufus Wainwright,"Musical artist, songwriter"
https://www.ted.com/talks/eric_mibuari_can_credit_scores_be_determined_by_cellphone_data,Can credit scores be determined by cellphone data?,"70% of African households own cellphones but less than 35% have access to credit. Mining non-traditional forms of credit via available technologies, Eric Mibuari asks if this ""mobile continent"" can use cellphones to access what they need most: loans.",,,,2018-02-12T16:12:06+00:00,"['telecom', 'technology', 'finance', 'Africa']",,Eric Mibuari,Computer scientist
https://www.ted.com/talks/rach_ranton_where_are_we_trying_to_end_up,Where are we trying to end up?,"Drawing upon both her military and corporate careers, Rach Ranton explores a central principle in group dynamics: As long as we all know what we're trying to accomplish, it doesn't matter exactly how we get there. Armed with a stockpile of lessons, she encourages leaders to adopt the best practices of a well-oiled unit. Ranton asks: If you as a leader were absent from the scene, would your team still know what to do ... and why they were doing it?",,,,2018-02-15T17:13:10+00:00,"['leadership', 'military', 'business']",,Rach Ranton,Veteran leader
https://www.ted.com/talks/scott_williams_the_impact_of_a_ted_talk_one_year_later,The impact of a TED Talk — one year later,"In 2017, Scott Williams highlighted the invaluable role of informal caregivers within society on the TED@Merck KGaA, Darmstadt, Germany stage. Since then, over a million have seen his talk. Williams joins curator Bruno Giussani to discuss the influence of his talk both within Merck KGaA, Darmstadt, Germany, and on the general public.",,,,2019-01-14T22:24:45+00:00,"['health care', 'illness', 'potential', 'personal growth']",,Scott Williams,Patient advocate
https://www.ted.com/talks/michael_uslan_how_i_brought_batman_to_hollywood_and_academia,How I brought Batman to Hollywood (and academia),"If there's one thing Michael Uslan always wanted to do, it was to convince the world to take Batman seriously. A longtime fan of Bruce Wayne and his noirish angst, he hated how the stories, already considered disposable, were turned into a joke by the 1960s TV adaptation. In this talk, Uslan describes his mission to reverse that image by bringing the Dark Knight to the big screen and, eventually, to one of the first comics classes on a US campus.",,,,2018-11-14T12:30:38+00:00,[],,Michael Uslan,"Producer, Author, Speaker"
https://www.ted.com/talks/karin_nilsdotter_the_sky_is_not_the_limit_why_investing_in_space_still_matters,The sky is not the limit — why investing in space still matters,"In the next 15 years, the market for commercial space-travel is predicted to double from $300 to $600 billion. Karin Nilsdotter, CEO of the Swedish Spaceport, believes that the cosmos are the next big frontier in business. And while microgravity research, lunar real estate and space tourism may still sound like sci-fi, Nilsdotter argues that the gravity currently grounding the space economy is about to dissolve.",,,,2017-12-01T17:42:39+00:00,"['business', 'space', 'technology', 'travel', 'entrepreneur']",,Karin Nilsdotter,Space entrepreneur
https://www.ted.com/talks/alejandro_nespral_hablemos_de_la_muerte_con_los_ninos,Hablemos de la muerte con los niños | Alejandro Nespral | TEDxBariloche,"Esta charla es de un evento TEDx, organizado de manera independiente de las conferencias TED. Más información en: http://ted.com/tedx Alejandro nos cuenta la importancia de hablar de la muerte con los niños. Alejandro es padre, hijo, pediatra, poeta, músico, corredor amateur, idealista e ideador. Alejandro es paliativista, considerándolo su pasión y el rincón desde donde intenta mejorar pedacitos de mundo. Trabaja en el Servicio de Cuidados Paliativos del Hospital Zonal Bariloche. Junto a unos amigos creó en el 2015 la Fundación Ideas Paliativas en Acción, desde donde piensan y desarrollan proyectos destinados a difundir los cuidados paliativos y la cultura del cuidado, especialmente vinculados a enfermedades, muerte y duelo. Nacido en Salta, vivió 30 años en Buenos Aires y hace 7 que reside en Bariloche. Es padre, hijo, pediatra, poeta, músico, corredor amateur, idealista e ideador. Alejandro es paliativista, considerándolo su pasión y el rincón desde donde intenta mejorar pedacitos de mundo. Trabaja en el Servicio de Cuidados Paliativos del Hospital Zonal Bariloche. Junto a unos amigos creó en el 2015 la Fundación Ideas Paliativas en Acción, desde donde piensan y desarrollan proyectos destinados a difundir los cuidados paliativos y la cultura del cuidado, especialmente vinculados a enfermedades, muerte y duelo.",,,,2017-12-12T14:49:25+00:00,"['TED en Español', 'death', 'children', 'youth', 'emotions', 'communication']",,Alejandro Nespral,
